Code,MthEnd,MthFwdReturn,MthEndMCap
AAPL,31-08-2010,16.7215,222087.1
ABBV,31-08-2010,NA,NA
ABT,31-08-2010,5.8776,76182.4
ACN,31-08-2010,16.0929,25983.5
AGN,31-08-2010,-1.7646,5378.4
AIG,31-08-2010,15.2373,23682.9
ALL,31-08-2010,14.3116,14850.7
AMGN,31-08-2010,7.9741,48920.5
AMZN,31-08-2010,25.8191,55902
AXP,31-08-2010,5.4176,47972.1
BA,31-08-2010,8.85,44727.7
BAC,31-08-2010,5.2361,125021.7
BIIB,31-08-2010,4.3123,14364.6
BK,31-08-2010,7.7082,29452.6
BLK,31-08-2010,19.9366,27185.4
BMY,31-08-2010,5.1647,44723.1
BRK/B,31-08-2010,4.9505,195177
C,31-08-2010,5.4193,107462.8
CAT,31-08-2010,20.7489,41081.6
CELG,31-08-2010,11.9293,23648.1
CHTR,31-08-2010,-3.7037,3795.4
CL,31-08-2010,4.0899,35886.1
CMCSA,31-08-2010,5.7619,47234
COF,31-08-2010,4.4362,17298
COP,31-08-2010,9.5365,77772.7
COST,31-08-2010,14.1416,24811
CSCO,31-08-2010,9.5822,114137.4
CVS,31-08-2010,16.642,36644.7
CVX,31-08-2010,9.4087,148944.8
DHR,31-08-2010,11.8359,23709.8
DIS,31-08-2010,1.721,62236.2
DUK,31-08-2010,3.085,22655.3
DWDP,31-08-2010,13.2862,28265.7
EMR,31-08-2010,12.8832,35099.9
EXC,31-08-2010,4.5678,26915.7
F,31-08-2010,8.4626,38812.7
FB,31-08-2010,NA,NA
FDX,31-08-2010,9.702,24554.1
FOX,31-08-2010,7.417,34143.9
FOXA,31-08-2010,4.5603,34143.9
GD,31-08-2010,12.4217,21251.5
GE,31-08-2010,13.0535,154808.9
GILD,31-08-2010,11.8756,26693.7
GM,31-08-2010,NA,NA
GOOG,31-08-2010,NA,143713.9
GOOGL,31-08-2010,16.837,143713.9
GS,31-08-2010,5.5868,74014.7
HAL,31-08-2010,17.2279,25599.3
HD,31-08-2010,13.8749,46747.4
HON,31-08-2010,12.4936,30162.5
IBM,31-08-2010,8.9418,155301.2
INTC,31-08-2010,8.6895,98358.7
JNJ,31-08-2010,8.6636,157058.4
JPM,31-08-2010,4.6755,144173.5
KHC,31-08-2010,NA,NA
KMI,31-08-2010,NA,NA
KO,31-08-2010,5.5137,129058.5
LLY,31-08-2010,8.7526,38734
LMT,31-08-2010,2.5316,25200.9
LOW,31-08-2010,9.9112,28458.4
MA,31-08-2010,12.926,26050.9
MCD,31-08-2010,1.9847,77760.6
MDLZ,31-08-2010,4.1267,52164.8
MDT,31-08-2010,6.7727,34059.3
MET,31-08-2010,2.1316,34134.6
MMM,31-08-2010,10.3883,56016.7
MO,31-08-2010,9.3589,46514.1
MON,31-08-2010,-8.9649,28454.7
MRK,31-08-2010,5.7912,108067.5
MS,31-08-2010,-0.0405,34491.2
MSFT,31-08-2010,4.3682,203056
NEE,31-08-2010,1.2284,22343.2
NKE,31-08-2010,14.9094,33661.7
ORCL,31-08-2010,22.9114,109798.4
OXY,31-08-2010,7.6701,59358.8
PCLN,31-08-2010,19.5073,14103.9
PEP,31-08-2010,4.2871,102106.1
PFE,31-08-2010,7.9195,127889
PG,31-08-2010,0.5028,169311.1
PM,31-08-2010,10.3381,94136.2
